[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth
183,80,140,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0533547187650323,0,83.985825,34598
184,80,150,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0533547187650323,0,83.985825,34598
185,80,160,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0533547187650323,0,83.985825,34598
186,80,170,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0533547187650323,0,83.985825,34598
187,80,180,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0533547187650323,0,83.985825,34598
188,80,190,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0533547187650323,0,83.985825,34598
189,80,200,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0533547187650323,0,83.985825,34598
190,90,0,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0644259529397671,32,55.87685,22957
191,90,10,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0574300773544444,0,63.154025,26428
192,90,20,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0603416187935427,0,69.86305,27303
193,90,30,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0588507049785824,0,72.4729,29966
194,90,40,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0525537562449984,0,78.291825,31850
195,90,50,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0572387700475979,0,86.4408,33820
196,90,60,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0539224535781825,0,89.246775,35819
197,90,70,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0486547616096576,0,93.8001,38028
198,90,80,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0474917637820219,0,99.4599,39456
199,90,90,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0486547616096576,0,93.8001,38028
200,90,100,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0486547616096576,0,93.8001,38028
201,90,110,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0486547616096576,0,93.8001,38028
202,90,120,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0486547616096576,0,93.8001,38028
203,90,130,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0486547616096576,0,93.8001,38028
204,90,140,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0486547616096576,0,93.8001,38028
205,90,150,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0486547616096576,0,93.8001,38028
206,90,160,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0486547616096576,0,93.8001,38028
207,90,170,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0486547616096576,0,93.8001,38028
208,90,180,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0486547616096576,0,93.8001,38028
209,90,190,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0486547616096576,0,93.8001,38028
210,90,200,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0486547616096576,0,93.8001,38028
211,100,0,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0648516511226032,20,65.0226,26845
212,100,10,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0610330284078735,0,67.363675,26881
213,100,20,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0589872347390932,0,71.70175,28671
214,100,30,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0536969827396869,0,77.04065,31319
215,100,40,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0546946732509309,0,84.1746,32672
216,100,50,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0578411533478033,0,91.48785,35761
217,100,60,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0527372818425732,0,94.9909,38194
218,100,70,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0491078231822183,0,97.6818,39037
219,100,80,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0479491487627182,0,105.605875,40637
220,100,90,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0465257400060368,0,108.8008,43609
221,100,100,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0479491487627182,0,105.605875,40637
222,100,110,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0479491487627182,0,105.605875,40637
223,100,120,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0479491487627182,0,105.605875,40637
224,100,130,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0479491487627182,0,105.605875,40637
225,100,140,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0479491487627182,0,105.605875,40637
226,100,150,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0479491487627182,0,105.605875,40637
227,100,160,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0479491487627182,0,105.605875,40637
228,100,170,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0479491487627182,0,105.605875,40637
229,100,180,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0479491487627182,0,105.605875,40637
230,100,190,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0479491487627182,0,105.605875,40637
231,100,200,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0479491487627182,0,105.605875,40637
232,110,0,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0676757433412351,19,66.804925,26407
233,110,10,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0634003022967014,0,69.97485,29138
234,110,20,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0594429189594525,0,76.755125,31418
235,110,30,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0538616450081006,0,84.486575,33712
236,110,40,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0538040160629438,0,87.893775,35394
237,110,50,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0489045662411345,0,90.76335,36847
238,110,60,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0478224738710196,0,101.502675,39849
239,110,70,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0511856278211242,0,102.2699,42087
240,110,80,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0483801123404545,0,111.3021,43513
241,110,90,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0453304411558342,0,114.23075,45188
242,110,100,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0454383352555615,0,119.647275,47816
243,110,110,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0453304411558342,0,114.23075,45188
244,110,120,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0453304411558342,0,114.23075,45188
245,110,130,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0453304411558342,0,114.23075,45188
246,110,140,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0453304411558342,0,114.23075,45188
247,110,150,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0453304411558342,0,114.23075,45188
248,110,160,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0453304411558342,0,114.23075,45188
249,110,170,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0453304411558342,0,114.23075,45188
250,110,180,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0453304411558342,0,114.23075,45188
251,110,190,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0453304411558342,0,114.23075,45188
252,110,200,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0453304411558342,0,114.23075,45188
253,120,0,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0634729455813847,24,73.971975,30709
254,120,10,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0595241496742158,0,78.736275,31844
255,120,20,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0553191645045625,0,82.452625,32741
256,120,30,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0536474837812493,0,87.287925,36607
257,120,40,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0530770833653043,0,97.3444,38851
258,120,50,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0471535252692432,0,101.0373,41268
259,120,60,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0466192260358555,0,106.430575,42241
260,120,70,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0486461646076807,0,108.16825,44184
261,120,80,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0458390938458953,0,115.06175,45943
262,120,90,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0416094739647551,0,117.4633,47752
263,120,100,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0450206000801836,0,126.69615,51085
264,120,110,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.045286073511288,0,126.897025,51133
265,120,120,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0450206000801836,0,126.69615,51085
266,120,130,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0450206000801836,0,126.69615,51085
267,120,140,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0450206000801836,0,126.69615,51085
268,120,150,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0450206000801836,0,126.69615,51085
269,120,160,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0450206000801836,0,126.69615,51085
270,120,170,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0450206000801836,0,126.69615,51085
271,120,180,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0450206000801836,0,126.69615,51085
272,120,190,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0450206000801836,0,126.69615,51085
273,120,200,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0450206000801836,0,126.69615,51085
274,130,0,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0618354395233035,22,74.69,29631
275,130,10,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0583806128343962,0,83.967775,32959
276,130,20,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0578452208782539,0,87.228675,35880
277,130,30,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0532251114637697,0,92.491575,36843
278,130,40,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0519495249617631,0,98.9454,39439
279,130,50,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0473894728962122,0,105.054875,43217
