[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth,avg-diff
192,90,20,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0466062086643315,0,64.037025,25207,-0.94
193,90,30,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0410147161730392,0,70.7726,28823,-0.99
194,90,40,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0409947716890428,0,75.3099,29129,-1.22
195,90,50,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0402184871257696,0,82.99505,31842,-1.2
196,90,60,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0372863520488704,0,86.04385,34334,-1.175
197,90,70,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0372382937931784,0,91.906175,36498,-1.345
198,90,80,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0340022144069232,0,97.0882,40334,-1.21
199,90,90,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0372382937931784,0,91.906175,36498,-1.345
200,90,100,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0372382937931784,0,91.906175,36498,-1.345
201,90,110,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0372382937931784,0,91.906175,36498,-1.345
202,90,120,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0372382937931784,0,91.906175,36498,-1.345
203,90,130,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0372382937931784,0,91.906175,36498,-1.345
204,90,140,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0372382937931784,0,91.906175,36498,-1.345
205,90,150,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0372382937931784,0,91.906175,36498,-1.345
206,90,160,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0372382937931784,0,91.906175,36498,-1.345
207,90,170,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0372382937931784,0,91.906175,36498,-1.345
208,90,180,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0372382937931784,0,91.906175,36498,-1.345
209,90,190,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0372382937931784,0,91.906175,36498,-1.345
210,90,200,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0372382937931784,0,91.906175,36498,-1.345
211,100,0,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0523283434061529,19,62.7682,24753,-0.995
212,100,10,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0469034734488587,0,66.271525,26996,-0.91
213,100,20,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0429022891748746,0,72.5807749999999,28360,-1.07
214,100,30,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0412671893632791,0,76.066775,31512,-1.36
215,100,40,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0376767129772344,0,80.861375,32739,-1.21
216,100,50,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0394935152790139,0,88.530225,35356,-1.215
217,100,60,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0350553287394047,0,91.12365,36271,-0.905
218,100,70,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0353353803762732,0,99.4457,39509,-1.245
219,100,80,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0337995084404772,0,104.714975,41767,-1.415
220,100,90,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0334692135030354,0,105.474125,43018,-1.54
221,100,100,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0337995084404772,0,104.714975,41767,-1.415
222,100,110,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0337995084404772,0,104.714975,41767,-1.415
223,100,120,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0337995084404772,0,104.714975,41767,-1.415
224,100,130,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0337995084404772,0,104.714975,41767,-1.415
225,100,140,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0337995084404772,0,104.714975,41767,-1.415
226,100,150,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0337995084404772,0,104.714975,41767,-1.415
227,100,160,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0337995084404772,0,104.714975,41767,-1.415
228,100,170,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0337995084404772,0,104.714975,41767,-1.415
229,100,180,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0337995084404772,0,104.714975,41767,-1.415
230,100,190,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0337995084404772,0,104.714975,41767,-1.415
231,100,200,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0337995084404772,0,104.714975,41767,-1.415
232,110,0,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0500280524781616,35,68.8447,27208,-1.095
233,110,10,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0457029642092577,0,70.604325,28209,-1.015
234,110,20,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0433142344134767,0,77.93135,29421,-1.155
235,110,30,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0425473417894388,0,80.587275,32641,-1.255
236,110,40,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0377828977592477,0,88.040425,34217,-1.16
237,110,50,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0384191497562588,0,91.9071,38255,-1.33
238,110,60,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0379129295356878,0,96.782025,36732,-1.345
239,110,70,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0355228192744255,0,102.836025,40989,-1.335
240,110,80,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0335911294104509,0,106.745075,43155,-1.655
241,110,90,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0324160520140754,0,115.719775,45238,-1.87
242,110,100,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0324794693817467,0,116.6404,46953,-1.595
243,110,110,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0324160520140754,0,115.719775,45238,-1.87
244,110,120,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0324160520140754,0,115.719775,45238,-1.87
245,110,130,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0324160520140754,0,115.719775,45238,-1.87
246,110,140,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0324160520140754,0,115.719775,45238,-1.87
247,110,150,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0324160520140754,0,115.719775,45238,-1.87
248,110,160,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0324160520140754,0,115.719775,45238,-1.87
249,110,170,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0324160520140754,0,115.719775,45238,-1.87
250,110,180,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0324160520140754,0,115.719775,45238,-1.87
251,110,190,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0324160520140754,0,115.719775,45238,-1.87
252,110,200,color-agents-by-decile,uniform-collection,dynamic,400,0,0.0324160520140754,0,115.719775,45238,-1.87
253,120,0,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0490924473806437,25,74.413675,30535,-1.08
254,120,10,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.046099459206782,0,76.182375,31881,-1.08
255,120,20,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0439579881534625,0,82.299475,32883,-1.245
256,120,30,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0405659943572688,0,85.911275,33674,-1.265
257,120,40,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.040738197767104,0,91.195,35873,-1.45
258,120,50,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0378226030405286,0,96.571,38779,-1.185
259,120,60,color-agents-by-decile,uniform-collection,dynamic,400,1000,0.0344373647476015,0,100.200675,40458,-1.13
