[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth,avg-diff
116,50,100,color-agents-by-decile,linear-collection,dynamic,400,0,0.0727457420371244,0,52.09215,20846,-1.675
117,50,110,color-agents-by-decile,linear-collection,dynamic,400,0,0.0727457420371244,0,52.09215,20846,-1.675
118,50,120,color-agents-by-decile,linear-collection,dynamic,400,0,0.0727457420371244,0,52.09215,20846,-1.675
119,50,130,color-agents-by-decile,linear-collection,dynamic,400,0,0.0727457420371244,0,52.09215,20846,-1.675
120,50,140,color-agents-by-decile,linear-collection,dynamic,400,0,0.0727457420371244,0,52.09215,20846,-1.675
121,50,150,color-agents-by-decile,linear-collection,dynamic,400,0,0.0727457420371244,0,52.09215,20846,-1.675
122,50,160,color-agents-by-decile,linear-collection,dynamic,400,0,0.0727457420371244,0,52.09215,20846,-1.675
123,50,170,color-agents-by-decile,linear-collection,dynamic,400,0,0.0727457420371244,0,52.09215,20846,-1.675
124,50,180,color-agents-by-decile,linear-collection,dynamic,400,0,0.0727457420371244,0,52.09215,20846,-1.675
125,50,190,color-agents-by-decile,linear-collection,dynamic,400,0,0.0727457420371244,0,52.09215,20846,-1.675
126,50,200,color-agents-by-decile,linear-collection,dynamic,400,0,0.0727457420371244,0,52.09215,20846,-1.675
127,60,0,color-agents-by-decile,linear-collection,dynamic,400,1000,0.0786848825562269,64,41.982875,17201,-1.265
128,60,10,color-agents-by-decile,linear-collection,dynamic,400,1000,0.0772624211031396,0,46.9638,19147,-1.86
129,60,20,color-agents-by-decile,linear-collection,dynamic,400,1000,0.0757036550987241,0,51.0461,20771,-1.865
130,60,30,color-agents-by-decile,linear-collection,dynamic,400,1000,0.0725384840000428,0,57.753975,22473,-1.725
131,60,40,color-agents-by-decile,linear-collection,dynamic,400,1000,0.0725982207350715,0,63.028275,25042,-1.67
132,60,50,color-agents-by-decile,linear-collection,dynamic,400,1000,0.0683830276219902,0,68.195425,26674,-1.995
133,60,60,color-agents-by-decile,linear-collection,dynamic,400,0,0.0725982207350715,0,63.028275,25042,-1.67
134,60,70,color-agents-by-decile,linear-collection,dynamic,400,0,0.0725982207350715,0,63.028275,25042,-1.67
135,60,80,color-agents-by-decile,linear-collection,dynamic,400,0,0.0725982207350715,0,63.028275,25042,-1.67
136,60,90,color-agents-by-decile,linear-collection,dynamic,400,0,0.0725982207350715,0,63.028275,25042,-1.67
137,60,100,color-agents-by-decile,linear-collection,dynamic,400,0,0.0725982207350715,0,63.028275,25042,-1.67
138,60,110,color-agents-by-decile,linear-collection,dynamic,400,0,0.0725982207350715,0,63.028275,25042,-1.67
139,60,120,color-agents-by-decile,linear-collection,dynamic,400,0,0.0725982207350715,0,63.028275,25042,-1.67
140,60,130,color-agents-by-decile,linear-collection,dynamic,400,0,0.0725982207350715,0,63.028275,25042,-1.67
141,60,140,color-agents-by-decile,linear-collection,dynamic,400,0,0.0725982207350715,0,63.028275,25042,-1.67
142,60,150,color-agents-by-decile,linear-collection,dynamic,400,0,0.0725982207350715,0,63.028275,25042,-1.67
143,60,160,color-agents-by-decile,linear-collection,dynamic,400,0,0.0725982207350715,0,63.028275,25042,-1.67
144,60,170,color-agents-by-decile,linear-collection,dynamic,400,0,0.0725982207350715,0,63.028275,25042,-1.67
145,60,180,color-agents-by-decile,linear-collection,dynamic,400,0,0.0725982207350715,0,63.028275,25042,-1.67
146,60,190,color-agents-by-decile,linear-collection,dynamic,400,0,0.0725982207350715,0,63.028275,25042,-1.67
147,60,200,color-agents-by-decile,linear-collection,dynamic,400,0,0.0725982207350715,0,63.028275,25042,-1.67
148,70,0,color-agents-by-decile,linear-collection,dynamic,400,1000,0.0757941069524585,33,45.74025,17029,-1.195
149,70,10,color-agents-by-decile,linear-collection,dynamic,400,1000,0.0734929508067329,0,52.88595,21140,-1.275
150,70,20,color-agents-by-decile,linear-collection,dynamic,400,1000,0.0693295499954366,0,58.582325,23612,-1.685
151,70,30,color-agents-by-decile,linear-collection,dynamic,400,1000,0.0678776597073537,0,62.62025,25091,-1.215
152,70,40,color-agents-by-decile,linear-collection,dynamic,400,1000,0.0700178898707504,0,66.7719,26577,-1.605
153,70,50,color-agents-by-decile,linear-collection,dynamic,400,1000,0.0673488541197198,0,74.08465,30023,-2.165
154,70,60,color-agents-by-decile,linear-collection,dynamic,400,1000,0.0680172218365469,0,81.206025,32212,-2.455
155,70,70,color-agents-by-decile,linear-collection,dynamic,400,0,0.0673488541197198,0,74.08465,30023,-2.165
156,70,80,color-agents-by-decile,linear-collection,dynamic,400,0,0.0673488541197198,0,74.08465,30023,-2.165
157,70,90,color-agents-by-decile,linear-collection,dynamic,400,0,0.0673488541197198,0,74.08465,30023,-2.165
158,70,100,color-agents-by-decile,linear-collection,dynamic,400,0,0.0673488541197198,0,74.08465,30023,-2.165
159,70,110,color-agents-by-decile,linear-collection,dynamic,400,0,0.0673488541197198,0,74.08465,30023,-2.165
160,70,120,color-agents-by-decile,linear-collection,dynamic,400,0,0.0673488541197198,0,74.08465,30023,-2.165
161,70,130,color-agents-by-decile,linear-collection,dynamic,400,0,0.0673488541197198,0,74.08465,30023,-2.165
162,70,140,color-agents-by-decile,linear-collection,dynamic,400,0,0.0673488541197198,0,74.08465,30023,-2.165
163,70,150,color-agents-by-decile,linear-collection,dynamic,400,0,0.0673488541197198,0,74.08465,30023,-2.165
164,70,160,color-agents-by-decile,linear-collection,dynamic,400,0,0.0673488541197198,0,74.08465,30023,-2.165
165,70,170,color-agents-by-decile,linear-collection,dynamic,400,0,0.0673488541197198,0,74.08465,30023,-2.165
166,70,180,color-agents-by-decile,linear-collection,dynamic,400,0,0.0673488541197198,0,74.08465,30023,-2.165
167,70,190,color-agents-by-decile,linear-collection,dynamic,400,0,0.0673488541197198,0,74.08465,30023,-2.165
168,70,200,color-agents-by-decile,linear-collection,dynamic,400,0,0.0673488541197198,0,74.08465,30023,-2.165
169,80,0,color-agents-by-decile,linear-collection,dynamic,400,1000,0.0760650856630268,27,49.598225,19244,-1.305
170,80,10,color-agents-by-decile,linear-collection,dynamic,400,1000,0.0721596652440088,0,59.691575,23012,-1.415
171,80,20,color-agents-by-decile,linear-collection,dynamic,400,1000,0.0689953839873512,0,63.46965,25287,-1.375
