[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth,avg-diff
75,30,110,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0895836662521226,0,32.053225,12746,-1.42
76,30,120,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0895836662521226,0,32.053225,12746,-1.42
77,30,130,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0895836662521226,0,32.053225,12746,-1.42
78,30,140,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0895836662521226,0,32.053225,12746,-1.42
79,30,150,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0895836662521226,0,32.053225,12746,-1.42
80,30,160,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0895836662521226,0,32.053225,12746,-1.42
81,30,170,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0895836662521226,0,32.053225,12746,-1.42
82,30,180,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0895836662521226,0,32.053225,12746,-1.42
83,30,190,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0895836662521226,0,32.053225,12746,-1.42
84,30,200,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0895836662521226,0,32.053225,12746,-1.42
85,40,0,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0784699033321697,110,32.741075,12199,-1.135
86,40,10,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0753013179547588,0,36.887825,14192,-1.285
87,40,20,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0730518289760847,0,42.67735,17634,-1.335
88,40,30,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0649961390470242,0,47.945475,20056,-1.41
89,40,40,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0730518289760847,0,42.67735,17634,-1.335
90,40,50,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0730518289760847,0,42.67735,17634,-1.335
91,40,60,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0730518289760847,0,42.67735,17634,-1.335
92,40,70,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0730518289760847,0,42.67735,17634,-1.335
93,40,80,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0730518289760847,0,42.67735,17634,-1.335
94,40,90,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0730518289760847,0,42.67735,17634,-1.335
95,40,100,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0730518289760847,0,42.67735,17634,-1.335
96,40,110,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0730518289760847,0,42.67735,17634,-1.335
97,40,120,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0730518289760847,0,42.67735,17634,-1.335
98,40,130,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0730518289760847,0,42.67735,17634,-1.335
99,40,140,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0730518289760847,0,42.67735,17634,-1.335
100,40,150,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0730518289760847,0,42.67735,17634,-1.335
101,40,160,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0730518289760847,0,42.67735,17634,-1.335
102,40,170,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0730518289760847,0,42.67735,17634,-1.335
103,40,180,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0730518289760847,0,42.67735,17634,-1.335
104,40,190,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0730518289760847,0,42.67735,17634,-1.335
105,40,200,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0730518289760847,0,42.67735,17634,-1.335
106,50,0,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0791334281228039,96,37.421725,14912,-1.225
107,50,10,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0722404334925339,0,40.241125,15783,-1.23
108,50,20,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0680239868737065,0,45.434425,18963,-1.64
109,50,30,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0620458751775004,0,53.419725,21331,-1.445
110,50,40,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0624501651472856,0,57.01665,22733,-1.74
111,50,50,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0620458751775004,0,53.419725,21331,-1.445
112,50,60,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0620458751775004,0,53.419725,21331,-1.445
113,50,70,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0620458751775004,0,53.419725,21331,-1.445
114,50,80,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0620458751775004,0,53.419725,21331,-1.445
115,50,90,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0620458751775004,0,53.419725,21331,-1.445
116,50,100,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0620458751775004,0,53.419725,21331,-1.445
117,50,110,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0620458751775004,0,53.419725,21331,-1.445
118,50,120,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0620458751775004,0,53.419725,21331,-1.445
119,50,130,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0620458751775004,0,53.419725,21331,-1.445
120,50,140,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0620458751775004,0,53.419725,21331,-1.445
121,50,150,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0620458751775004,0,53.419725,21331,-1.445
122,50,160,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0620458751775004,0,53.419725,21331,-1.445
123,50,170,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0620458751775004,0,53.419725,21331,-1.445
124,50,180,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0620458751775004,0,53.419725,21331,-1.445
125,50,190,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0620458751775004,0,53.419725,21331,-1.445
126,50,200,color-agents-by-decile,dynamic-collection,dynamic,400,0,0.0620458751775004,0,53.419725,21331,-1.445
127,60,0,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0727674590421706,59,40.635275,16576,-1.23
128,60,10,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0683412344961595,0,46.475175,18868,-1.245
129,60,20,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0643232744704404,0,51.273125,20629,-1.38
130,60,30,color-agents-by-decile,dynamic-collection,dynamic,400,1000,0.0617573938499842,0,58.536575,24004,-1.62
