[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth,avg-diff
90,40,50,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0541696694099862,0,45.31995,17673,0.47
91,40,60,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0541696694099862,0,45.31995,17673,0.47
92,40,70,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0541696694099862,0,45.31995,17673,0.47
93,40,80,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0541696694099862,0,45.31995,17673,0.47
94,40,90,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0541696694099862,0,45.31995,17673,0.47
95,40,100,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0541696694099862,0,45.31995,17673,0.47
96,40,110,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0541696694099862,0,45.31995,17673,0.47
97,40,120,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0541696694099862,0,45.31995,17673,0.47
98,40,130,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0541696694099862,0,45.31995,17673,0.47
99,40,140,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0541696694099862,0,45.31995,17673,0.47
100,40,150,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0541696694099862,0,45.31995,17673,0.47
101,40,160,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0541696694099862,0,45.31995,17673,0.47
102,40,170,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0541696694099862,0,45.31995,17673,0.47
103,40,180,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0541696694099862,0,45.31995,17673,0.47
104,40,190,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0541696694099862,0,45.31995,17673,0.47
105,40,200,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0541696694099862,0,45.31995,17673,0.47
106,50,0,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.063674884771043,14,34.9459,15646,0.455
107,50,10,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0485419291379054,0,42.9367,17533,0.525
108,50,20,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0514774801108088,0,53.0781,21124,0.56
109,50,30,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0496281356514911,0,55.81655,20757,0.405
110,50,40,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0467218002917571,0,60.03455,22642,0.305
111,50,50,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0496281356514911,0,55.81655,20757,0.405
112,50,60,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0496281356514911,0,55.81655,20757,0.405
113,50,70,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0496281356514911,0,55.81655,20757,0.405
114,50,80,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0496281356514911,0,55.81655,20757,0.405
115,50,90,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0496281356514911,0,55.81655,20757,0.405
116,50,100,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0496281356514911,0,55.81655,20757,0.405
117,50,110,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0496281356514911,0,55.81655,20757,0.405
118,50,120,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0496281356514911,0,55.81655,20757,0.405
119,50,130,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0496281356514911,0,55.81655,20757,0.405
120,50,140,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0496281356514911,0,55.81655,20757,0.405
121,50,150,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0496281356514911,0,55.81655,20757,0.405
122,50,160,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0496281356514911,0,55.81655,20757,0.405
123,50,170,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0496281356514911,0,55.81655,20757,0.405
124,50,180,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0496281356514911,0,55.81655,20757,0.405
125,50,190,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0496281356514911,0,55.81655,20757,0.405
126,50,200,color-agents-by-decile,dynamic-collection,UBI,400,0,0.0496281356514911,0,55.81655,20757,0.405
127,60,0,color-agents-by-decile,dynamic-collection,UBI,400,1000,0.0596547233513413,8,42.807775,17890,0.425
