maximum-sugar-endowment,minimum-sugar-endowment,taxation,redistribution,avg-gini,starvation,avg-wealth,total-wealth,avg-diff,etiqueta
155,10,uniform-collection,uniform,0.337616217269453,7684,47.000945,19405,2.465235,4.0
156,10,uniform-collection,uniform,0.329180015693865,7200,48.23383,18920,2.42874,4.0
157,10,uniform-collection,uniform,0.335341809370557,7315,47.819475,18986,2.48511,4.0
158,10,uniform-collection,uniform,0.333600580846266,7004,47.849355,19574,2.45138,4.0
159,10,uniform-collection,uniform,0.339871603800168,6890,47.785645,17471,2.45813,4.0
160,10,uniform-collection,uniform,0.331745749657999,6589,48.800575,18632,2.441045,4.0
161,10,uniform-collection,uniform,0.331490957814061,6682,49.59935,19572,2.445385,4.0
162,10,uniform-collection,uniform,0.328788613011952,6449,49.68806,19740,2.442765,4.0
163,10,uniform-collection,uniform,0.329956926763499,6439,49.469145,19004,2.478915,4.0
164,10,uniform-collection,uniform,0.324011471630131,5941,51.024035,19801,2.42946,4.0
165,10,uniform-collection,uniform,0.322251776059975,5910,50.923385,20331,2.401265,4.0
166,10,uniform-collection,uniform,0.322196788386061,5925,51.849335,21545,2.397625,4.0
167,10,uniform-collection,uniform,0.328675847183217,5598,50.863535,20139,2.489445,4.0
168,10,uniform-collection,uniform,0.325877415727851,5677,51.416605,21440,2.438745,4.0
169,10,uniform-collection,uniform,0.323825131461475,5609,52.347345,21262,2.427795,4.0
170,10,uniform-collection,uniform,0.32902077706753,5526,51.0953199999999,20145,2.472025,4.0
171,10,uniform-collection,uniform,0.327031392486718,5499,52.362295,20528,2.476065,4.0
172,10,uniform-collection,uniform,0.321870762925973,5393,52.97582,21160,2.49464,4.0
173,10,uniform-collection,uniform,0.326447767509162,5377,52.576545,21677,2.472195,4.0
174,10,uniform-collection,uniform,0.324591774942545,5193,53.458015,20181,2.521215,4.0
175,10,uniform-collection,uniform,0.321772226522371,5342,53.1455650000001,21856,2.480255,4.0
176,10,uniform-collection,uniform,0.326780017698026,5183,53.06922,21912,2.526175,4.0
177,10,uniform-collection,uniform,0.329283873667805,5313,53.43368,21284,2.57732,4.0
178,10,uniform-collection,uniform,0.330055008273731,5152,53.835265,22158,2.574375,4.0
179,10,uniform-collection,uniform,0.332100616140007,5222,53.70203,22328,2.61784,4.0
180,10,uniform-collection,uniform,0.327036015763358,5121,54.489915,21463,2.622645,4.0
181,10,uniform-collection,uniform,0.330814544172574,5243,53.84126,22428,2.589325,4.0
182,10,uniform-collection,uniform,0.328404790494802,5241,54.26411,22254,2.61312,4.0
183,10,uniform-collection,uniform,0.329345206707804,5083,54.38803,21990,2.653965,4.0
