maximum-sugar-endowment,minimum-sugar-endowment,taxation,redistribution,avg-gini,starvation,avg-wealth,total-wealth,avg-diff,etiqueta
112,10,linear-collection,poorest,0.215479753664435,63,19.577485,7668,2.195615,2.0
113,10,linear-collection,poorest,0.244249708482943,40,18.589135,6967,2.15514,2.0
114,10,linear-collection,poorest,0.244586199441721,27,18.494915,7468,2.17571,2.0
115,10,linear-collection,poorest,0.219400621533709,14,19.814855,8294,2.25016,2.0
116,10,linear-collection,poorest,0.230007336391696,30,19.32032,8073,2.25835,2.0
117,10,linear-collection,poorest,0.227529593829637,13,19.47125,8309,2.290895,2.0
118,10,linear-collection,poorest,0.218676842200533,4,20.07518,7900,2.31316,2.0
119,10,linear-collection,poorest,0.247084931311143,6,18.89972,7387,2.289355,2.0
120,10,linear-collection,poorest,0.231306298259267,0,19.75905,7450,2.36911,2.0
121,10,linear-collection,poorest,0.224297459879154,0,20.058875,7544,2.3751,2.0
122,10,linear-collection,poorest,0.224824151657574,0,20.428485,8462,2.445975,2.0
123,10,linear-collection,poorest,0.211951195343276,0,21.30337,8130,2.49152,2.0
124,10,linear-collection,poorest,0.223751757098831,0,20.63992,8598,2.460725,2.0
125,10,linear-collection,poorest,0.205666541381546,0,21.917345,9289,2.62465,2.0
126,10,linear-collection,poorest,0.216015586000724,0,21.548035,7904,2.593525,2.0
127,10,linear-collection,poorest,0.223498051603863,0,20.98854,7851,2.53572,2.0
128,10,linear-collection,poorest,0.21439730715807,0,21.72713,8238,2.630275,2.0
129,10,linear-collection,poorest,0.223471353257308,0,21.13273,9178,2.58012,2.0
130,10,linear-collection,poorest,0.220829976980317,0,21.71513,8450,2.678545,2.0
131,10,linear-collection,poorest,0.215308448238009,0,22.184825,8824,2.7045,2.0
132,10,linear-collection,poorest,0.226460551230772,0,21.574055,8487,2.682145,2.0
133,10,linear-collection,poorest,0.218324111871523,0,21.935095,8392,2.70561,2.0
134,10,linear-collection,poorest,0.223353849615691,0,21.68304,8525,2.712685,2.0
135,10,linear-collection,poorest,0.22116061617925,0,22.034475,9852,2.770125,2.0
136,10,linear-collection,poorest,0.219006937939156,0,22.15291,8839,2.75602,2.0
137,10,linear-collection,poorest,0.217561295739646,0,22.72451,8911,2.850465,2.0
138,10,linear-collection,poorest,0.209633032280282,0,23.39291,8934,2.921585,2.0
139,10,linear-collection,poorest,0.217780249303745,0,22.97044,8957,2.91224,2.0
140,10,linear-collection,poorest,0.211591648212523,0,23.552385,9949,2.982185,2.0
141,10,linear-collection,poorest,0.219030221314933,0,23.086435,9772,2.95467,2.0
142,10,linear-collection,poorest,0.22040993804009,0,23.144725,9422,2.95765,2.0
143,10,linear-collection,poorest,0.22543482687325,0,23.198455,8593,3.024765,2.0
144,10,linear-collection,poorest,0.225462437374359,0,23.14754,8949,3.0088,2.0
145,10,linear-collection,poorest,0.214524025876986,0,24.169925,9970,3.11938,2.0
146,10,linear-collection,poorest,0.213364000957716,0,24.301815,10277,3.128385,2.0
147,10,linear-collection,poorest,0.216627100980941,0,24.309875,9886,3.1226,2.0
148,10,linear-collection,poorest,0.216363080696373,0,24.211605,10599,3.135815,2.0
149,10,linear-collection,poorest,0.212205791228661,0,24.895695,10233,3.228825,2.0
150,10,linear-collection,poorest,0.217939604514827,0,24.722415,8627,3.26833,2.0
151,10,linear-collection,poorest,0.215558171985312,0,24.86282,9650,3.25392,2.0
152,10,linear-collection,poorest,0.213102600028099,0,25.358805,8688,3.326475,2.0
153,10,linear-collection,poorest,0.214832485385114,0,25.27927,9992,3.328485,2.0
154,10,linear-collection,poorest,0.213685794482554,0,25.196625,9643,3.2867,2.0
155,10,linear-collection,poorest,0.216802435327546,0,25.38252,8881,3.362155,2.0
156,10,linear-collection,poorest,0.20830798293768,0,26.09544,8963,3.379745,2.0
157,10,linear-collection,poorest,0.217270529643299,0,25.73043,11497,3.428045,2.0
158,10,linear-collection,poorest,0.217668679386402,0,25.651135,10568,3.412075,2.0
159,10,linear-collection,poorest,0.218680659356567,0,25.825765,10952,3.465345,2.0
160,10,linear-collection,poorest,0.215539740529825,0,26.41006,10834,3.545305,2.0
161,10,linear-collection,poorest,0.213498923971633,0,26.575035,10719,3.544845,2.0
162,10,linear-collection,poorest,0.211451084311113,0,27.327895,11909,3.67112,2.0
163,10,linear-collection,poorest,0.215510971597791,0,26.705905,10483,3.564595,2.0
164,10,linear-collection,poorest,0.208836984859725,0,27.61451,11846,3.66871,2.0
165,10,linear-collection,poorest,0.218280580362085,0,26.53771,10656,3.564425,2.0
166,10,linear-collection,poorest,0.219527374936614,0,27.002305,12016,3.654075,2.0
167,10,linear-collection,poorest,0.215599315109176,0,27.468105,10577,3.726185,2.0
168,10,linear-collection,poorest,0.216306684779505,0,27.69317,11008,3.735505,2.0
169,10,linear-collection,poorest,0.212111081542928,0,27.42629,11265,3.64269,2.0
170,10,linear-collection,poorest,0.215668311652415,0,27.857335,11173,3.794275,2.0
171,10,linear-collection,poorest,0.214452015712228,0,28.311575,11712,3.86288999999999,2.0
172,10,linear-collection,poorest,0.215978737429418,0,28.04302,10215,3.812825,2.0
173,10,linear-collection,poorest,0.217757064500304,0,28.31394,12486,3.907455,2.0
174,10,linear-collection,poorest,0.216745451270245,0,28.832695,10772,3.994875,2.0
175,10,linear-collection,poorest,0.212399991546545,0,28.89886,10554,3.95783,2.0
176,10,linear-collection,poorest,0.218795651861527,0,28.457395,11443,3.920475,2.0
177,10,linear-collection,poorest,0.217976815535609,0,28.613705,11549,3.977125,2.0
178,10,linear-collection,poorest,0.215740458826144,0,29.58107,11330,4.138395,2.0
179,10,linear-collection,poorest,0.219281927704901,0,29.245995,11201,4.10469,2.0
180,10,linear-collection,poorest,0.217059437701967,0,29.74391,11327,4.176405,2.0
181,10,linear-collection,poorest,0.214537814426951,0,29.92026,13022,4.16354,2.0
182,10,linear-collection,poorest,0.217984855523463,0,29.52616,11183,4.123235,2.0
183,10,linear-collection,poorest,0.216522770428708,0,29.907975,12392,4.20622,2.0
184,10,linear-collection,poorest,0.218319065242459,0,30.10645,12135,4.24824,2.0
185,10,linear-collection,poorest,0.217138770239914,0,30.62335,12477,4.32532,2.0
186,10,linear-collection,poorest,0.224074395038735,0,29.24007,11927,4.166855,2.0
187,10,linear-collection,poorest,0.218312524162933,0,30.832505,11763,4.38151,2.0
188,10,linear-collection,poorest,0.222661693336964,0,29.868095,12292,4.247315,2.0
189,10,linear-collection,poorest,0.215679927304967,0,31.27098,12199,4.4075,2.0
190,10,linear-collection,poorest,0.222099736813317,0,30.771815,12786,4.426295,2.0
191,10,linear-collection,poorest,0.225942638054855,0,30.423395,12679,4.40344,2.0
