[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth
65,30,10,color-agents-by-decile,poorest,400,1000,0.270873181454435,1193,5.7538,2341
66,30,20,color-agents-by-decile,poorest,400,1000,0.2925852742418,711,6.080875,2496
67,30,30,color-agents-by-decile,poorest,400,0,0.270873181454435,1193,5.7538,2341
68,30,40,color-agents-by-decile,poorest,400,0,0.270873181454435,1193,5.7538,2341
69,30,50,color-agents-by-decile,poorest,400,0,0.270873181454435,1193,5.7538,2341
70,30,60,color-agents-by-decile,poorest,400,0,0.270873181454435,1193,5.7538,2341
71,30,70,color-agents-by-decile,poorest,400,0,0.270873181454435,1193,5.7538,2341
72,30,80,color-agents-by-decile,poorest,400,0,0.270873181454435,1193,5.7538,2341
73,30,90,color-agents-by-decile,poorest,400,0,0.270873181454435,1193,5.7538,2341
74,30,100,color-agents-by-decile,poorest,400,0,0.270873181454435,1193,5.7538,2341
75,30,110,color-agents-by-decile,poorest,400,0,0.270873181454435,1193,5.7538,2341
76,30,120,color-agents-by-decile,poorest,400,0,0.270873181454435,1193,5.7538,2341
77,30,130,color-agents-by-decile,poorest,400,0,0.270873181454435,1193,5.7538,2341
78,30,140,color-agents-by-decile,poorest,400,0,0.270873181454435,1193,5.7538,2341
79,30,150,color-agents-by-decile,poorest,400,0,0.270873181454435,1193,5.7538,2341
80,30,160,color-agents-by-decile,poorest,400,0,0.270873181454435,1193,5.7538,2341
81,30,170,color-agents-by-decile,poorest,400,0,0.270873181454435,1193,5.7538,2341
82,30,180,color-agents-by-decile,poorest,400,0,0.270873181454435,1193,5.7538,2341
83,30,190,color-agents-by-decile,poorest,400,0,0.270873181454435,1193,5.7538,2341
84,30,200,color-agents-by-decile,poorest,400,0,0.270873181454435,1193,5.7538,2341
85,40,0,color-agents-by-decile,poorest,400,1000,0.337250607290265,1618,5.425075,2442
86,40,10,color-agents-by-decile,poorest,400,1000,0.293324396228913,807,6.100525,2435
87,40,20,color-agents-by-decile,poorest,400,1000,0.280255612043032,284,6.736725,2599
88,40,30,color-agents-by-decile,poorest,400,1000,0.282940525746507,120,7.52355,2722
89,40,40,color-agents-by-decile,poorest,400,0,0.280255612043032,284,6.736725,2599
90,40,50,color-agents-by-decile,poorest,400,0,0.280255612043032,284,6.736725,2599
91,40,60,color-agents-by-decile,poorest,400,0,0.280255612043032,284,6.736725,2599
92,40,70,color-agents-by-decile,poorest,400,0,0.280255612043032,284,6.736725,2599
93,40,80,color-agents-by-decile,poorest,400,0,0.280255612043032,284,6.736725,2599
94,40,90,color-agents-by-decile,poorest,400,0,0.280255612043032,284,6.736725,2599
95,40,100,color-agents-by-decile,poorest,400,0,0.280255612043032,284,6.736725,2599
96,40,110,color-agents-by-decile,poorest,400,0,0.280255612043032,284,6.736725,2599
97,40,120,color-agents-by-decile,poorest,400,0,0.280255612043032,284,6.736725,2599
98,40,130,color-agents-by-decile,poorest,400,0,0.280255612043032,284,6.736725,2599
99,40,140,color-agents-by-decile,poorest,400,0,0.280255612043032,284,6.736725,2599
100,40,150,color-agents-by-decile,poorest,400,0,0.280255612043032,284,6.736725,2599
101,40,160,color-agents-by-decile,poorest,400,0,0.280255612043032,284,6.736725,2599
102,40,170,color-agents-by-decile,poorest,400,0,0.280255612043032,284,6.736725,2599
103,40,180,color-agents-by-decile,poorest,400,0,0.280255612043032,284,6.736725,2599
104,40,190,color-agents-by-decile,poorest,400,0,0.280255612043032,284,6.736725,2599
105,40,200,color-agents-by-decile,poorest,400,0,0.280255612043032,284,6.736725,2599
106,50,0,color-agents-by-decile,poorest,400,1000,0.301199847630947,943,6.3051,2754
107,50,10,color-agents-by-decile,poorest,400,1000,0.276609202676909,435,6.868425,2475
108,50,20,color-agents-by-decile,poorest,400,1000,0.273524356888644,262,7.67485,2866
109,50,30,color-agents-by-decile,poorest,400,1000,0.249879934160467,69,9.1024,3926
110,50,40,color-agents-by-decile,poorest,400,1000,0.226151007069705,1,10.459125,4487
111,50,50,color-agents-by-decile,poorest,400,0,0.249879934160467,69,9.1024,3926
112,50,60,color-agents-by-decile,poorest,400,0,0.249879934160467,69,9.1024,3926
113,50,70,color-agents-by-decile,poorest,400,0,0.249879934160467,69,9.1024,3926
114,50,80,color-agents-by-decile,poorest,400,0,0.249879934160467,69,9.1024,3926
115,50,90,color-agents-by-decile,poorest,400,0,0.249879934160467,69,9.1024,3926
116,50,100,color-agents-by-decile,poorest,400,0,0.249879934160467,69,9.1024,3926
117,50,110,color-agents-by-decile,poorest,400,0,0.249879934160467,69,9.1024,3926
118,50,120,color-agents-by-decile,poorest,400,0,0.249879934160467,69,9.1024,3926
119,50,130,color-agents-by-decile,poorest,400,0,0.249879934160467,69,9.1024,3926
120,50,140,color-agents-by-decile,poorest,400,0,0.249879934160467,69,9.1024,3926
