[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth
129,60,20,color-agents-by-decile,linear-collection,poorest,400,1000,0.278247693042899,0,33.599175,14373
130,60,30,color-agents-by-decile,linear-collection,poorest,400,1000,0.25852054263224,0,43.8549,19572
131,60,40,color-agents-by-decile,linear-collection,poorest,400,1000,0.261117587627969,0,44.1448,16187
132,60,50,color-agents-by-decile,linear-collection,poorest,400,1000,0.297571652055329,0,55.510775,23815
133,60,60,color-agents-by-decile,linear-collection,poorest,400,0,0.261117587627969,0,44.1448,16187
134,60,70,color-agents-by-decile,linear-collection,poorest,400,0,0.261117587627969,0,44.1448,16187
135,60,80,color-agents-by-decile,linear-collection,poorest,400,0,0.261117587627969,0,44.1448,16187
136,60,90,color-agents-by-decile,linear-collection,poorest,400,0,0.261117587627969,0,44.1448,16187
137,60,100,color-agents-by-decile,linear-collection,poorest,400,0,0.261117587627969,0,44.1448,16187
138,60,110,color-agents-by-decile,linear-collection,poorest,400,0,0.261117587627969,0,44.1448,16187
139,60,120,color-agents-by-decile,linear-collection,poorest,400,0,0.261117587627969,0,44.1448,16187
140,60,130,color-agents-by-decile,linear-collection,poorest,400,0,0.261117587627969,0,44.1448,16187
141,60,140,color-agents-by-decile,linear-collection,poorest,400,0,0.261117587627969,0,44.1448,16187
142,60,150,color-agents-by-decile,linear-collection,poorest,400,0,0.261117587627969,0,44.1448,16187
143,60,160,color-agents-by-decile,linear-collection,poorest,400,0,0.261117587627969,0,44.1448,16187
144,60,170,color-agents-by-decile,linear-collection,poorest,400,0,0.261117587627969,0,44.1448,16187
145,60,180,color-agents-by-decile,linear-collection,poorest,400,0,0.261117587627969,0,44.1448,16187
146,60,190,color-agents-by-decile,linear-collection,poorest,400,0,0.261117587627969,0,44.1448,16187
147,60,200,color-agents-by-decile,linear-collection,poorest,400,0,0.261117587627969,0,44.1448,16187
148,70,0,color-agents-by-decile,linear-collection,poorest,400,1000,0.288851834793073,187,33.11715,15692
149,70,10,color-agents-by-decile,linear-collection,poorest,400,1000,0.24990790817469,0,32.607925,11061
150,70,20,color-agents-by-decile,linear-collection,poorest,400,1000,0.280520083623075,0,44.29235,14658
151,70,30,color-agents-by-decile,linear-collection,poorest,400,1000,0.280140697342469,0,49.66935,18063
152,70,40,color-agents-by-decile,linear-collection,poorest,400,1000,0.280135821685126,0,51.23295,22668
153,70,50,color-agents-by-decile,linear-collection,poorest,400,1000,0.308153091113581,0,53.874025,21444
154,70,60,color-agents-by-decile,linear-collection,poorest,400,1000,0.283039385773451,0,64.312875,29055
155,70,70,color-agents-by-decile,linear-collection,poorest,400,0,0.308153091113581,0,53.874025,21444
156,70,80,color-agents-by-decile,linear-collection,poorest,400,0,0.308153091113581,0,53.874025,21444
157,70,90,color-agents-by-decile,linear-collection,poorest,400,0,0.308153091113581,0,53.874025,21444
158,70,100,color-agents-by-decile,linear-collection,poorest,400,0,0.308153091113581,0,53.874025,21444
159,70,110,color-agents-by-decile,linear-collection,poorest,400,0,0.308153091113581,0,53.874025,21444
160,70,120,color-agents-by-decile,linear-collection,poorest,400,0,0.308153091113581,0,53.874025,21444
161,70,130,color-agents-by-decile,linear-collection,poorest,400,0,0.308153091113581,0,53.874025,21444
162,70,140,color-agents-by-decile,linear-collection,poorest,400,0,0.308153091113581,0,53.874025,21444
163,70,150,color-agents-by-decile,linear-collection,poorest,400,0,0.308153091113581,0,53.874025,21444
164,70,160,color-agents-by-decile,linear-collection,poorest,400,0,0.308153091113581,0,53.874025,21444
165,70,170,color-agents-by-decile,linear-collection,poorest,400,0,0.308153091113581,0,53.874025,21444
166,70,180,color-agents-by-decile,linear-collection,poorest,400,0,0.308153091113581,0,53.874025,21444
167,70,190,color-agents-by-decile,linear-collection,poorest,400,0,0.308153091113581,0,53.874025,21444
168,70,200,color-agents-by-decile,linear-collection,poorest,400,0,0.308153091113581,0,53.874025,21444
169,80,0,color-agents-by-decile,linear-collection,poorest,400,1000,0.301777249803277,153,35.9208,14341
170,80,10,color-agents-by-decile,linear-collection,poorest,400,1000,0.282577831668696,0,44.089275,19937
171,80,20,color-agents-by-decile,linear-collection,poorest,400,1000,0.239002512986555,0,44.6033,19090
172,80,30,color-agents-by-decile,linear-collection,poorest,400,1000,0.247257510469567,0,51.788725,21689
173,80,40,color-agents-by-decile,linear-collection,poorest,400,1000,0.263078784181411,0,60.8341,20617
174,80,50,color-agents-by-decile,linear-collection,poorest,400,1000,0.253499466524812,0,62.9282,26389
175,80,60,color-agents-by-decile,linear-collection,poorest,400,1000,0.266135472235225,0,64.622575,30470
176,80,70,color-agents-by-decile,linear-collection,poorest,400,1000,0.266994833237982,36,73.959425,26781
177,80,80,color-agents-by-decile,linear-collection,poorest,400,0,0.266135472235225,0,64.622575,30470
178,80,90,color-agents-by-decile,linear-collection,poorest,400,0,0.266135472235225,0,64.622575,30470
179,80,100,color-agents-by-decile,linear-collection,poorest,400,0,0.266135472235225,0,64.622575,30470
180,80,110,color-agents-by-decile,linear-collection,poorest,400,0,0.266135472235225,0,64.622575,30470
181,80,120,color-agents-by-decile,linear-collection,poorest,400,0,0.266135472235225,0,64.622575,30470
182,80,130,color-agents-by-decile,linear-collection,poorest,400,0,0.266135472235225,0,64.622575,30470
183,80,140,color-agents-by-decile,linear-collection,poorest,400,0,0.266135472235225,0,64.622575,30470
184,80,150,color-agents-by-decile,linear-collection,poorest,400,0,0.266135472235225,0,64.622575,30470
185,80,160,color-agents-by-decile,linear-collection,poorest,400,0,0.266135472235225,0,64.622575,30470
186,80,170,color-agents-by-decile,linear-collection,poorest,400,0,0.266135472235225,0,64.622575,30470
187,80,180,color-agents-by-decile,linear-collection,poorest,400,0,0.266135472235225,0,64.622575,30470
188,80,190,color-agents-by-decile,linear-collection,poorest,400,0,0.266135472235225,0,64.622575,30470
189,80,200,color-agents-by-decile,linear-collection,poorest,400,0,0.266135472235225,0,64.622575,30470
190,90,0,color-agents-by-decile,linear-collection,poorest,400,1000,0.248898023660948,115,42.1565,16478
191,90,10,color-agents-by-decile,linear-collection,poorest,400,1000,0.265053133822684,65,49.21295,14799
192,90,20,color-agents-by-decile,linear-collection,poorest,400,1000,0.290307960259188,0,51.9388,22776
193,90,30,color-agents-by-decile,linear-collection,poorest,400,1000,0.265821002337884,0,54.557275,25570
194,90,40,color-agents-by-decile,linear-collection,poorest,400,1000,0.249036043162875,2,60.427925,25205
195,90,50,color-agents-by-decile,linear-collection,poorest,400,1000,0.282908962962538,0,64.4414,24962
196,90,60,color-agents-by-decile,linear-collection,poorest,400,1000,0.264348986568765,0,69.72675,22866
197,90,70,color-agents-by-decile,linear-collection,poorest,400,1000,0.25288255211037,0,82.718625,32933
198,90,80,color-agents-by-decile,linear-collection,poorest,400,1000,0.253610704038745,85,78.887025,33969
199,90,90,color-agents-by-decile,linear-collection,poorest,400,0,0.25288255211037,0,82.718625,32933
200,90,100,color-agents-by-decile,linear-collection,poorest,400,0,0.25288255211037,0,82.718625,32933
201,90,110,color-agents-by-decile,linear-collection,poorest,400,0,0.25288255211037,0,82.718625,32933
202,90,120,color-agents-by-decile,linear-collection,poorest,400,0,0.25288255211037,0,82.718625,32933
203,90,130,color-agents-by-decile,linear-collection,poorest,400,0,0.25288255211037,0,82.718625,32933
204,90,140,color-agents-by-decile,linear-collection,poorest,400,0,0.25288255211037,0,82.718625,32933
205,90,150,color-agents-by-decile,linear-collection,poorest,400,0,0.25288255211037,0,82.718625,32933
206,90,160,color-agents-by-decile,linear-collection,poorest,400,0,0.25288255211037,0,82.718625,32933
207,90,170,color-agents-by-decile,linear-collection,poorest,400,0,0.25288255211037,0,82.718625,32933
208,90,180,color-agents-by-decile,linear-collection,poorest,400,0,0.25288255211037,0,82.718625,32933
209,90,190,color-agents-by-decile,linear-collection,poorest,400,0,0.25288255211037,0,82.718625,32933
210,90,200,color-agents-by-decile,linear-collection,poorest,400,0,0.25288255211037,0,82.718625,32933
211,100,0,color-agents-by-decile,linear-collection,poorest,400,1000,0.284845424894613,117,47.754,17044
212,100,10,color-agents-by-decile,linear-collection,poorest,400,1000,0.265210858069375,0,52.06285,20195
213,100,20,color-agents-by-decile,linear-collection,poorest,400,1000,0.266439015620316,0,55.551375,20033
214,100,30,color-agents-by-decile,linear-collection,poorest,400,1000,0.259278946443145,0,62.98325,24303
215,100,40,color-agents-by-decile,linear-collection,poorest,400,1000,0.218027480171636,0,65.576775,24591
216,100,50,color-agents-by-decile,linear-collection,poorest,400,1000,0.273355342429208,0,73.384325,28950
217,100,60,color-agents-by-decile,linear-collection,poorest,400,1000,0.252553599010633,0,82.029525,34874
218,100,70,color-agents-by-decile,linear-collection,poorest,400,1000,0.218677691156207,0,79.150475,29337
219,100,80,color-agents-by-decile,linear-collection,poorest,400,1000,0.26197541476012,0,82.889575,31023
220,100,90,color-agents-by-decile,linear-collection,poorest,400,1000,0.234811127199093,0,91.554925,38270
221,100,100,color-agents-by-decile,linear-collection,poorest,400,0,0.26197541476012,0,82.889575,31023
222,100,110,color-agents-by-decile,linear-collection,poorest,400,0,0.26197541476012,0,82.889575,31023
223,100,120,color-agents-by-decile,linear-collection,poorest,400,0,0.26197541476012,0,82.889575,31023
224,100,130,color-agents-by-decile,linear-collection,poorest,400,0,0.26197541476012,0,82.889575,31023
225,100,140,color-agents-by-decile,linear-collection,poorest,400,0,0.26197541476012,0,82.889575,31023
226,100,150,color-agents-by-decile,linear-collection,poorest,400,0,0.26197541476012,0,82.889575,31023
227,100,160,color-agents-by-decile,linear-collection,poorest,400,0,0.26197541476012,0,82.889575,31023
228,100,170,color-agents-by-decile,linear-collection,poorest,400,0,0.26197541476012,0,82.889575,31023
229,100,180,color-agents-by-decile,linear-collection,poorest,400,0,0.26197541476012,0,82.889575,31023
230,100,190,color-agents-by-decile,linear-collection,poorest,400,0,0.26197541476012,0,82.889575,31023
231,100,200,color-agents-by-decile,linear-collection,poorest,400,0,0.26197541476012,0,82.889575,31023
232,110,0,color-agents-by-decile,linear-collection,poorest,400,1000,0.268884143568779,107,54.3729,20606
233,110,10,color-agents-by-decile,linear-collection,poorest,400,1000,0.251753478999395,0,56.776925,23686
234,110,20,color-agents-by-decile,linear-collection,poorest,400,1000,0.302561001369751,2,59.52,23049
235,110,30,color-agents-by-decile,linear-collection,poorest,400,1000,0.292079484133203,0,63.9995,27258
236,110,40,color-agents-by-decile,linear-collection,poorest,400,1000,0.273081665872553,0,70.402675,26538
237,110,50,color-agents-by-decile,linear-collection,poorest,400,1000,0.260011525202749,0,77.059175,31692
238,110,60,color-agents-by-decile,linear-collection,poorest,400,1000,0.270334959712314,0,85.95005,41256
239,110,70,color-agents-by-decile,linear-collection,poorest,400,1000,0.317033908425671,0,86.26685,37699
240,110,80,color-agents-by-decile,linear-collection,poorest,400,1000,0.227072468399995,0,90.9305,28587
241,110,90,color-agents-by-decile,linear-collection,poorest,400,1000,0.24150269364216,0,93.7127249999999,41606
242,110,100,color-agents-by-decile,linear-collection,poorest,400,1000,0.249445849300479,0,102.06965,35982
243,110,110,color-agents-by-decile,linear-collection,poorest,400,0,0.24150269364216,0,93.7127249999999,41606
244,110,120,color-agents-by-decile,linear-collection,poorest,400,0,0.24150269364216,0,93.7127249999999,41606
245,110,130,color-agents-by-decile,linear-collection,poorest,400,0,0.24150269364216,0,93.7127249999999,41606
246,110,140,color-agents-by-decile,linear-collection,poorest,400,0,0.24150269364216,0,93.7127249999999,41606
247,110,150,color-agents-by-decile,linear-collection,poorest,400,0,0.24150269364216,0,93.7127249999999,41606
248,110,160,color-agents-by-decile,linear-collection,poorest,400,0,0.24150269364216,0,93.7127249999999,41606
