[run number],maximum-sugar-endowment,minimum-sugar-endowment,visualization,taxation,redistribution,initial-population,[step],avg-gini,starvation,avg-productivity,total-wealth
128,60,10,color-agents-by-decile,linear-collection,linear,400,1000,0.0772932471133763,0,48.535075,19538
129,60,20,color-agents-by-decile,linear-collection,linear,400,1000,0.0764497499313328,0,50.739975,20569
130,60,30,color-agents-by-decile,linear-collection,linear,400,1000,0.0778624631712319,0,58.92905,23757
131,60,40,color-agents-by-decile,linear-collection,linear,400,1000,0.0764624759997726,0,59.7295,23762
132,60,50,color-agents-by-decile,linear-collection,linear,400,1000,0.0775614466278939,0,67.169025,27316
133,60,60,color-agents-by-decile,linear-collection,linear,400,0,0.0764624759997726,0,59.7295,23762
134,60,70,color-agents-by-decile,linear-collection,linear,400,0,0.0764624759997726,0,59.7295,23762
135,60,80,color-agents-by-decile,linear-collection,linear,400,0,0.0764624759997726,0,59.7295,23762
136,60,90,color-agents-by-decile,linear-collection,linear,400,0,0.0764624759997726,0,59.7295,23762
137,60,100,color-agents-by-decile,linear-collection,linear,400,0,0.0764624759997726,0,59.7295,23762
138,60,110,color-agents-by-decile,linear-collection,linear,400,0,0.0764624759997726,0,59.7295,23762
139,60,120,color-agents-by-decile,linear-collection,linear,400,0,0.0764624759997726,0,59.7295,23762
140,60,130,color-agents-by-decile,linear-collection,linear,400,0,0.0764624759997726,0,59.7295,23762
141,60,140,color-agents-by-decile,linear-collection,linear,400,0,0.0764624759997726,0,59.7295,23762
142,60,150,color-agents-by-decile,linear-collection,linear,400,0,0.0764624759997726,0,59.7295,23762
143,60,160,color-agents-by-decile,linear-collection,linear,400,0,0.0764624759997726,0,59.7295,23762
144,60,170,color-agents-by-decile,linear-collection,linear,400,0,0.0764624759997726,0,59.7295,23762
145,60,180,color-agents-by-decile,linear-collection,linear,400,0,0.0764624759997726,0,59.7295,23762
146,60,190,color-agents-by-decile,linear-collection,linear,400,0,0.0764624759997726,0,59.7295,23762
147,60,200,color-agents-by-decile,linear-collection,linear,400,0,0.0764624759997726,0,59.7295,23762
148,70,0,color-agents-by-decile,linear-collection,linear,400,1000,0.0787772549050114,49,46.9402,18098
149,70,10,color-agents-by-decile,linear-collection,linear,400,1000,0.0774527978202194,0,50.610475,20289
150,70,20,color-agents-by-decile,linear-collection,linear,400,1000,0.0777132501168195,0,56.94275,23232
151,70,30,color-agents-by-decile,linear-collection,linear,400,1000,0.078785650789644,0,65.073625,26499
152,70,40,color-agents-by-decile,linear-collection,linear,400,1000,0.0775586114616286,0,71.888425,27506
153,70,50,color-agents-by-decile,linear-collection,linear,400,1000,0.0784138698001848,0,77.223075,30629
154,70,60,color-agents-by-decile,linear-collection,linear,400,1000,0.0785612071036057,0,77.918975,31798
155,70,70,color-agents-by-decile,linear-collection,linear,400,0,0.0784138698001848,0,77.223075,30629
156,70,80,color-agents-by-decile,linear-collection,linear,400,0,0.0784138698001848,0,77.223075,30629
157,70,90,color-agents-by-decile,linear-collection,linear,400,0,0.0784138698001848,0,77.223075,30629
158,70,100,color-agents-by-decile,linear-collection,linear,400,0,0.0784138698001848,0,77.223075,30629
159,70,110,color-agents-by-decile,linear-collection,linear,400,0,0.0784138698001848,0,77.223075,30629
160,70,120,color-agents-by-decile,linear-collection,linear,400,0,0.0784138698001848,0,77.223075,30629
161,70,130,color-agents-by-decile,linear-collection,linear,400,0,0.0784138698001848,0,77.223075,30629
162,70,140,color-agents-by-decile,linear-collection,linear,400,0,0.0784138698001848,0,77.223075,30629
163,70,150,color-agents-by-decile,linear-collection,linear,400,0,0.0784138698001848,0,77.223075,30629
164,70,160,color-agents-by-decile,linear-collection,linear,400,0,0.0784138698001848,0,77.223075,30629
165,70,170,color-agents-by-decile,linear-collection,linear,400,0,0.0784138698001848,0,77.223075,30629
166,70,180,color-agents-by-decile,linear-collection,linear,400,0,0.0784138698001848,0,77.223075,30629
167,70,190,color-agents-by-decile,linear-collection,linear,400,0,0.0784138698001848,0,77.223075,30629
168,70,200,color-agents-by-decile,linear-collection,linear,400,0,0.0784138698001848,0,77.223075,30629
169,80,0,color-agents-by-decile,linear-collection,linear,400,1000,0.079693017470807,29,54.3368,21233
170,80,10,color-agents-by-decile,linear-collection,linear,400,1000,0.0781354302965882,0,59.807125,23480
171,80,20,color-agents-by-decile,linear-collection,linear,400,1000,0.0780776409352846,0,61.4554,24499
172,80,30,color-agents-by-decile,linear-collection,linear,400,1000,0.0785391225184816,0,70.95325,28952
173,80,40,color-agents-by-decile,linear-collection,linear,400,1000,0.078992197015707,0,76.324275,31155
174,80,50,color-agents-by-decile,linear-collection,linear,400,1000,0.0787837153345441,0,79.917875,32314
175,80,60,color-agents-by-decile,linear-collection,linear,400,1000,0.078449229474483,0,82.48295,33408
176,80,70,color-agents-by-decile,linear-collection,linear,400,1000,0.0785276037046867,0,86.1149,33782
177,80,80,color-agents-by-decile,linear-collection,linear,400,0,0.078449229474483,0,82.48295,33408
178,80,90,color-agents-by-decile,linear-collection,linear,400,0,0.078449229474483,0,82.48295,33408
179,80,100,color-agents-by-decile,linear-collection,linear,400,0,0.078449229474483,0,82.48295,33408
180,80,110,color-agents-by-decile,linear-collection,linear,400,0,0.078449229474483,0,82.48295,33408
181,80,120,color-agents-by-decile,linear-collection,linear,400,0,0.078449229474483,0,82.48295,33408
182,80,130,color-agents-by-decile,linear-collection,linear,400,0,0.078449229474483,0,82.48295,33408
183,80,140,color-agents-by-decile,linear-collection,linear,400,0,0.078449229474483,0,82.48295,33408
184,80,150,color-agents-by-decile,linear-collection,linear,400,0,0.078449229474483,0,82.48295,33408
185,80,160,color-agents-by-decile,linear-collection,linear,400,0,0.078449229474483,0,82.48295,33408
186,80,170,color-agents-by-decile,linear-collection,linear,400,0,0.078449229474483,0,82.48295,33408
187,80,180,color-agents-by-decile,linear-collection,linear,400,0,0.078449229474483,0,82.48295,33408
188,80,190,color-agents-by-decile,linear-collection,linear,400,0,0.078449229474483,0,82.48295,33408
189,80,200,color-agents-by-decile,linear-collection,linear,400,0,0.078449229474483,0,82.48295,33408
190,90,0,color-agents-by-decile,linear-collection,linear,400,1000,0.0795783124497657,23,58.1556,23623
191,90,10,color-agents-by-decile,linear-collection,linear,400,1000,0.0779768024780903,0,62.68905,25267
192,90,20,color-agents-by-decile,linear-collection,linear,400,1000,0.0788498106996777,0,67.19835,26566
193,90,30,color-agents-by-decile,linear-collection,linear,400,1000,0.0787772282024392,0,77.868525,30824
194,90,40,color-agents-by-decile,linear-collection,linear,400,1000,0.0782917967932644,0,78.1152,30909
195,90,50,color-agents-by-decile,linear-collection,linear,400,1000,0.0781701785072702,0,83.862875,32709
196,90,60,color-agents-by-decile,linear-collection,linear,400,1000,0.0784447992339356,0,85.45505,34483
197,90,70,color-agents-by-decile,linear-collection,linear,400,1000,0.0787460328996544,0,89.2868,35489
198,90,80,color-agents-by-decile,linear-collection,linear,400,1000,0.0790185257361037,0,97.178425,39396
199,90,90,color-agents-by-decile,linear-collection,linear,400,0,0.0787460328996544,0,89.2868,35489
200,90,100,color-agents-by-decile,linear-collection,linear,400,0,0.0787460328996544,0,89.2868,35489
201,90,110,color-agents-by-decile,linear-collection,linear,400,0,0.0787460328996544,0,89.2868,35489
202,90,120,color-agents-by-decile,linear-collection,linear,400,0,0.0787460328996544,0,89.2868,35489
203,90,130,color-agents-by-decile,linear-collection,linear,400,0,0.0787460328996544,0,89.2868,35489
204,90,140,color-agents-by-decile,linear-collection,linear,400,0,0.0787460328996544,0,89.2868,35489
205,90,150,color-agents-by-decile,linear-collection,linear,400,0,0.0787460328996544,0,89.2868,35489
206,90,160,color-agents-by-decile,linear-collection,linear,400,0,0.0787460328996544,0,89.2868,35489
207,90,170,color-agents-by-decile,linear-collection,linear,400,0,0.0787460328996544,0,89.2868,35489
208,90,180,color-agents-by-decile,linear-collection,linear,400,0,0.0787460328996544,0,89.2868,35489
209,90,190,color-agents-by-decile,linear-collection,linear,400,0,0.0787460328996544,0,89.2868,35489
210,90,200,color-agents-by-decile,linear-collection,linear,400,0,0.0787460328996544,0,89.2868,35489
211,100,0,color-agents-by-decile,linear-collection,linear,400,1000,0.0797307077824366,27,61.423025,24853
212,100,10,color-agents-by-decile,linear-collection,linear,400,1000,0.0795597661952112,0,71.3971,29680
213,100,20,color-agents-by-decile,linear-collection,linear,400,1000,0.0790030711390425,0,76.50955,31008
214,100,30,color-agents-by-decile,linear-collection,linear,400,1000,0.0790408569085904,0,80.93815,32011
215,100,40,color-agents-by-decile,linear-collection,linear,400,1000,0.0791793838141752,0,83.480475,33382
216,100,50,color-agents-by-decile,linear-collection,linear,400,1000,0.0788906748452627,0,87.15005,35084
217,100,60,color-agents-by-decile,linear-collection,linear,400,1000,0.0787913933220119,0,91.518275,36822
218,100,70,color-agents-by-decile,linear-collection,linear,400,1000,0.0788969649851609,0,96.64235,39053
219,100,80,color-agents-by-decile,linear-collection,linear,400,1000,0.0793959141541662,0,101.9965,43212
220,100,90,color-agents-by-decile,linear-collection,linear,400,1000,0.0798212803755985,0,108.16695,43360
221,100,100,color-agents-by-decile,linear-collection,linear,400,0,0.0798212803755985,0,108.16695,43360
222,100,110,color-agents-by-decile,linear-collection,linear,400,0,0.0798212803755985,0,108.16695,43360
223,100,120,color-agents-by-decile,linear-collection,linear,400,0,0.0798212803755985,0,108.16695,43360
224,100,130,color-agents-by-decile,linear-collection,linear,400,0,0.0798212803755985,0,108.16695,43360
225,100,140,color-agents-by-decile,linear-collection,linear,400,0,0.0798212803755985,0,108.16695,43360
226,100,150,color-agents-by-decile,linear-collection,linear,400,0,0.0798212803755985,0,108.16695,43360
227,100,160,color-agents-by-decile,linear-collection,linear,400,0,0.0798212803755985,0,108.16695,43360
228,100,170,color-agents-by-decile,linear-collection,linear,400,0,0.0798212803755985,0,108.16695,43360
229,100,180,color-agents-by-decile,linear-collection,linear,400,0,0.0798212803755985,0,108.16695,43360
230,100,190,color-agents-by-decile,linear-collection,linear,400,0,0.0798212803755985,0,108.16695,43360
231,100,200,color-agents-by-decile,linear-collection,linear,400,0,0.0798212803755985,0,108.16695,43360
232,110,0,color-agents-by-decile,linear-collection,linear,400,1000,0.0807698793584718,26,71.25805,27712
233,110,10,color-agents-by-decile,linear-collection,linear,400,1000,0.0797635091016187,0,77.36225,30464
234,110,20,color-agents-by-decile,linear-collection,linear,400,1000,0.0792863773857694,0,80.121425,31878
235,110,30,color-agents-by-decile,linear-collection,linear,400,1000,0.0792710925921527,0,81.4911,32581
236,110,40,color-agents-by-decile,linear-collection,linear,400,1000,0.0792355684752148,0,86.9476,34239
237,110,50,color-agents-by-decile,linear-collection,linear,400,1000,0.079363375885934,0,92.5346,37569
238,110,60,color-agents-by-decile,linear-collection,linear,400,1000,0.0793132825119303,0,97.820375,39175
239,110,70,color-agents-by-decile,linear-collection,linear,400,1000,0.0809345691801699,0,103.3989,41019
240,110,80,color-agents-by-decile,linear-collection,linear,400,1000,0.0799834896402524,0,105.025675,42007
241,110,90,color-agents-by-decile,linear-collection,linear,400,1000,0.080474670923656,0,114.609475,45756
242,110,100,color-agents-by-decile,linear-collection,linear,400,1000,0.0803278519644233,0,119.52195,48404
243,110,110,color-agents-by-decile,linear-collection,linear,400,0,0.0799834896402524,0,105.025675,42007
244,110,120,color-agents-by-decile,linear-collection,linear,400,0,0.0799834896402524,0,105.025675,42007
245,110,130,color-agents-by-decile,linear-collection,linear,400,0,0.0799834896402524,0,105.025675,42007
246,110,140,color-agents-by-decile,linear-collection,linear,400,0,0.0799834896402524,0,105.025675,42007
247,110,150,color-agents-by-decile,linear-collection,linear,400,0,0.0799834896402524,0,105.025675,42007
248,110,160,color-agents-by-decile,linear-collection,linear,400,0,0.0799834896402524,0,105.025675,42007
249,110,170,color-agents-by-decile,linear-collection,linear,400,0,0.0799834896402524,0,105.025675,42007
250,110,180,color-agents-by-decile,linear-collection,linear,400,0,0.0799834896402524,0,105.025675,42007
251,110,190,color-agents-by-decile,linear-collection,linear,400,0,0.0799834896402524,0,105.025675,42007
252,110,200,color-agents-by-decile,linear-collection,linear,400,0,0.0799834896402524,0,105.025675,42007
253,120,0,color-agents-by-decile,linear-collection,linear,400,1000,0.0817617079783762,30,72.67095,28974
